BDGT_SRC_ASST,BDGT_SRC_FED,BDGT_SRC_FEE,BDGT_SRC_MNC,BDGT_TTL,BDGT_TTL_EST,COM_COL,COM_MIS,COM_NSARA,COM_PTNR,COM_SARA,COM_SURV,COM_TRN_INSRV,COM_TRN_REC,City,Disqualifies Complaints,Erases misconduct records ,FTCIV,FTSWORN,Gives officers unfair access to info ,HIR_RTR_DB,HIR_RTR_DC,HIR_RTR_OTHR,HIR_RTR_SS,Limits oversight/discipline,PAY_BARG,PAY_FUNC_ADMN,PAY_FUNC_CRT,PAY_FUNC_EMRG,PAY_FUNC_EVNT,PAY_FUNC_INVS,PAY_FUNC_PTRL,PAY_FUNC_SHFT,PAY_INCT_EDU,PAY_INCT_HZRD,PAY_INCT_LANG,PAY_INCT_MRT,PAY_INCT_OTHR,PAY_INCT_RINC,PAY_INCT_SD,PAY_INCT_SPCL,PAY_INCT_SPEC,PAY_INCT_VOC,PAY_LMT,PAY_OUT,PAY_OVER_NSW,PAY_OVER_SW,PAY_RMB_ARMR,PAY_RMB_FIRE,PAY_RMB_SFTY,PAY_RMB_TUIT,PAY_RMB_UNF,PAY_RST_HRS,PAY_RST_NO,PAY_RST_OTHR,PAY_RST_TYPE,PAY_SAL_EXC_MAX,PAY_SAL_EXC_MIN,PAY_SAL_OFCR_MAX,PAY_SAL_OFCR_MIN,PAY_SAL_SGT_MAX,PAY_SAL_SGT_MIN,PAY_SBARG,PAY_VEH_MRK,PAY_VEH_UMRK,PERS_RESP_CRT,PERS_RESP_INVST,PERS_RESP_JAIL,PERS_RESP_OTHR,PERS_RESP_PATRL,PTCIV,PTSWORN,Requires City to Pay for Misconduct,Restricts/Delays Interrogations,State,TOTALPRIV
1.0,1.0,1.0,1.0,417761422.0,2.0,2,3,-8,1,2,2,1,1,Dallas,0,0,544.0,3478.0,0,1,2,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0, ,2.0,2.0,1,2,1.0,2.0,2.0,2.0,2.0,2.0,1,2,2,1,200909.0,89053.0,69921.0,42941.0,84425.0,50713.0,2.0,2.0,2.0,17,369,25,913,2154,0.0,0.0,0,0,TX,0
2.0,2.0,2.0,1.0,196962557.0,2.0,1,3,300,1,1,1,3,-8,Denver,0,0,219.0,1383.0,0,1,2,2,2,0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0, ,2.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,177312.0,177312.0,82692.0,51610.0,97740.0,91980.0,1.0,3.0,2.0,0,265,0,478,640,8.0,0.0,0,0,CO,0
2.0,1.0,2.0,2.0,267911971.0,2.0, ,3,-8,1,2,2,1,1,Detroit,0,1,314.0,2526.0,1,1,2,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0, ,2.0,2.0,1,1,1.0,1.0,1.0,1.0,2.0,1.0,1,2,2,1,,,47909.0,29347.0,65979.0,63847.0,3.0,3.0,2.0, , , , , ,0.0,0.0,1,1,MI,5
1.0,2.0,2.0,1.0,59058720.0,2.0,1,3,514,1,1,2,4,1,Durham,0,0,107.0,517.0,0,1,1,2,2,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0, ,1.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,1,1,158998.0,99374.0,52955.0,33000.0,72460.0,49342.0,-8.0,2.0,2.0,1,104,0,32,380,3.0,0.0,0,0,NC,0
2.0,2.0,2.0,1.0,116626014.0,2.0,1,3,-8,2,2,1,2,1,El Paso,1,0,217.0,1067.0,0,1,1,1,2,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0, ,2.0,1.0,1,1,1.0,2.0,2.0,2.0,1.0,2.0,1,2,2,1,181324.0,103025.0,38184.0,38184.0,73164.0,60660.0,1.0,2.0,2.0,1,175,0,329,562,5.0,0.0,1,1,TX,4
1.0,1.0,1.0,1.0,51000000.0,1.0,1,3,300,1,1,2,1,-8,Fort Wayne,0,0,153.0,433.0,1,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0, ,2.0,2.0,1,1,1.0,1.0,1.0,1.0,2.0,1.0,2,2,1,1,114331.0,114331.0,49023.0,49023.0,59981.0,59981.0,2.0,1.0,1.0,0,116,0,0,317,1.0,0.0,0,1,IN,3
1.0,1.0,2.0,1.0,248684618.0,2.0, ,3,-8,2,2,2,2,1,Fort Worth,0,0,398.0,1528.0,1,1,1,1,2,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0, ,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,,,77293.0,52187.0,93808.0,79123.0,1.0,2.0,2.0,1,123,7,377,1020,208.0,0.0,0,1,TX,3
1.0,1.0,2.0,1.0,47329306.0,2.0,1,2,-8,1,2,1, , ,Fremont,0,0,98.0,171.0,1,2,1,1,2,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,Detective Compensation and Field Training Officer Compensation,2.0,2.0,2,1,1.0,1.0,1.0,1.0,2.0,1.0,-8,-8,-8,-8,224190.0,161033.0,107140.0,77609.0,128757.0,93291.0,1.0,2.0,2.0,1,24,15,21,110,0.0,8.0,1,1,CA,4
1.0,1.0,1.0,1.0,145552400.0,2.0, , , , , , , , ,Fresno,0,0,192.0,728.0,1,1,2,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,Certification Compensation,2.0,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.0,1,2,2,1,172819.0,172819.0,76176.0,51660.0,91836.0,79320.0,1.0,2.0,2.0,0,137,0,162,429,33.0,0.0,1,1,CA,4
1.0,2.0,1.0,1.0,75355455.0,1.0,1,3,16,2,1,2,3,4,Glendale,1,1,114.0,390.0,1,1,1,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,Collective Bargaining Rights,2.0,2.0,1,1,1.0,1.0,2.0,2.0,2.0,1.0,1,2,2,1,174930.0,109331.0,68418.0,49992.0,88924.0,76816.0,1.0,3.0,2.0,4,74,0,108,204,4.0,0.0,0,1,AZ,5
1.0,2.0,2.0,1.0,65355241.0,2.0,1,3,0,1,1,1,1,1,Greensboro,0,0,104.0,690.0,0,1,1,2,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,2.0,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.0,1,2,2,1,175500.0,105300.0,64375.0,35556.0,85125.0,54480.0,2.0,2.0,2.0,0,100,0,143,447,0.0,0.0,0,0,NC,0
1.0,1.0,2.0,1.0,90476916.0,2.0,1,3,-8,2,2,1,1,1,Henderson,0,1,162.0,333.0,1,1,2,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0, ,2.0,2.0,1,1,1.0,1.0,2.0,2.0,2.0,1.0,1,2,1,1,185326.0,117649.0,86236.0,55577.0,107785.0,88670.0,1.0,2.0,2.0,0,74,0,39,220,204.0,0.0,1,1,NV,5
1.0,1.0,2.0,1.0,39000000.0,1.0, ,3,-8,1,2,2,2,1,Hialeah,1,1,61.0,292.0,1,1,1,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0, ,1.0,2.0,1,1,1.0,1.0,2.0,2.0,1.0,1.0,1,2,2,1,135000.0,125000.0,59000.0,39000.0,82000.0,72000.0,1.0,2.0,2.0,0,135,0,0,157,0.0,0.0,1,1,FL,6
1.0,1.0,2.0,1.0,223759296.0,1.0,1,3,40,1,1,1,4,1,Honolulu,0,1,474.0,2076.0,1,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0, ,2.0,2.0,1,1,1.0,1.0,1.0,2.0,1.0,1.0,1,2,1,1,143724.0,137088.0,76704.0,53268.0,87144.0,65040.0,1.0,3.0,2.0,0,277,77,390,1332,0.0,100.0,0,1,HI,4
1.0,2.0,2.0,1.0,620488531.0,1.0,2,3,-8,1,2,1,1,1,Houston,1,1,1345.0,5295.0,1,1,1,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,Patrol Pay,1.0,1.0,1,1,1.0,1.0,2.0,1.0,1.0,1.0,1,2,1,1,200000.0,200000.0,66098.0,44007.0,87421.0,72218.0,1.0,2.0,2.0,0,1142,80,1051,3022,0.0,0.0,0,1,TX,5
1.0,1.0,1.0,1.0,233065051.0,2.0,2,3,118,1,1,2,3,1,Indianapolis,1,0,221.0,1589.0,1,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0, ,2.0,2.0,1,1,1.0,1.0,1.0,1.0,2.0,1.0,1,2,2,1,117000.0,117000.0,39446.0,39446.0,65909.0,65909.0,1.0,2.0,2.0,0,378,0,289,922,24.0,0.0,0,0,IN,3
1.0,1.0,1.0,2.0,56988995.0,2.0,1,3,30,1,1,2,4,1,Irvine,0,1,82.0,198.0,1,1,2,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0, ,1.0,2.0,2,1,1.0,1.0,1.0,1.0,1.0,1.0,-8,-8,-8,-8,195083.0,131310.0,86861.0,64043.0,109845.0,80246.0,1.0,2.0,2.0,0,44,0,26,128,99.0,0.0,1,1,CA,5
1.0,2.0,2.0,1.0,49068608.0,2.0, ,2,20,1,1,1,3,1,Irving,0,0,308.0,336.0,0,1,1,1,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,Fitness Incentive,2.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,192900.0,136800.0,70788.0,52812.0,84276.0,72804.0,2.0,2.0,2.0,0,71,1,23,241,0.0,0.0,0,0,TX,0
1.0,1.0,2.0,1.0,8039962.0,2.0,2,3,-8,1,2,1,4,4,Jacksonville,1,1,23.0,58.0,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0, ,1.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,110302.0,68036.0,39582.0,36628.0,72446.0,52603.0,1.0,2.0,2.0,0,11,0,5,42,9.0,3.0,1,1,FL,6
1.0,1.0,1.0,1.0,91000000.0,2.0,2,3,-8,1,2,2,4,1,Jersey City,1,0,150.0,799.0,0,1,1,2,2,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,2.0,1.0,1,1,1.0,1.0,2.0,2.0,1.0,1.0,1,2,2,2,187000.0,187000.0,110000.0,45600.0,120000.0,104000.0,2.0,2.0,2.0,8,93,0,224,474,188.0,0.0,1,1,NJ,4
1.0,1.0,1.0,1.0,196432911.0,2.0,2,3,-8,2,2,1,3,1,Kansas City,0,0,570.0,1363.0,1,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0, ,2.0,2.0,1,1,1.0,1.0,2.0,1.0,1.0,1.0,2,2,1,1,172476.0,80220.0,68340.0,39984.0,80904.0,74688.0,1.0,2.0,2.0,10,247,1,293,812,0.0,0.0,0,1,MO,3
1.0,1.0,2.0,1.0,55485089.0,1.0,2,2,-8,2,2,2,4,4,Laredo,0,1,76.0,441.0,1,1,1,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0, ,1.0,2.0,1,1,1.0,2.0,2.0,2.0,2.0,1.0,1,2,2,1,145018.0,145018.0,74006.0,49400.0,86902.0,79477.0,1.0,2.0,2.0,3,50,0,111,277,0.0,0.0,1,1,TX,5
1.0,1.0,2.0,1.0,489000000.0,2.0,2,3,1620,1,1,1,3,1,Las Vegas,0,1,2251.0,2743.0,1,1,1,2,2,1,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0, ,2.0,2.0,1,1,1.0,1.0,2.0,2.0,2.0,1.0,2,1,1,2,175888.0,123525.0,79747.0,56035.0,99008.0,69513.0,1.0,2.0,2.0,0,701,658,0,1384,80.0,0.0,1,1,NV,5
1.0,1.0,2.0,2.0,77000000.0,2.0,1,3,24,2,1,2,4,4,Lexington,1,1,107.0,514.0,0,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0, ,1.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,1,1,143474.0,89987.0,58720.0,36711.0,77030.0,59464.0,1.0,1.0,1.0,1,111,0,56,346,64.0,0.0,1,1,KY,5
